CUBE_ID,TABLE_ID
FINREP_REF_F_19.00.d_REF_FINREP 2.9,FINREP_REF_F_19.00.d_REF_FINREP 2.9
FINREP_REF_F_25.01.a_REF_FINREP 2.9,FINREP_REF_F_25.01.a_REF_FINREP 2.9
FINREP_REF_F_19.00.c_REF_FINREP 2.9,FINREP_REF_F_19.00.c_REF_FINREP 2.9
FINREP_REF_F_25.02.b_REF_FINREP 2.9,FINREP_REF_F_25.02.b_REF_FINREP 2.9
FINREP_REF_F_08.01.a_REF_FINREP 2.9,FINREP_REF_F_08.01.a_REF_FINREP 2.9
FINREP_REF_F_18.00.b_REF_FINREP 2.9,FINREP_REF_F_18.00.b_REF_FINREP 2.9
FINREP_REF_F_04.04.1_REF_FINREP 2.9,FINREP_REF_F_04.04.1_REF_FINREP 2.9
FINREP_REF_F_26.00.a_REF_FINREP 2.9,FINREP_REF_F_26.00.a_REF_FINREP 2.9
FINREP_REF_F_12.01.b_REF_FINREP 2.8,FINREP_REF_F_12.01.b_REF_FINREP 2.8
FINREP_REF_F_12.01.a_REF_FINREP 2.9,FINREP_REF_F_12.01.a_REF_FINREP 2.9
FINREP_REF_F_19.00.a_REF_FINREP 2.9,FINREP_REF_F_19.00.a_REF_FINREP 2.9
FINREP_REF_F_19.00.e_REF_FINREP 2.9,FINREP_REF_F_19.00.e_REF_FINREP 2.9
FINREP_REF_F_25.03.a_REF_FINREP 2.9,FINREP_REF_F_25.03.a_REF_FINREP 2.9
FINREP_REF_F_20.05.a_REF_FINREP 2.9,FINREP_REF_F_20.05.a_REF_FINREP 2.9
FINREP_REF_F_25.01.c_REF_FINREP 2.9,FINREP_REF_F_25.01.c_REF_FINREP 2.9
FINREP_REF_F_18.02.b_REF_FINREP 2.9,FINREP_REF_F_18.02.b_REF_FINREP 2.9
FINREP_REF_F_18.00.d_REF_FINREP 2.9,FINREP_REF_F_18.00.d_REF_FINREP 2.9
FINREP_REF_F_18.02.a_REF_FINREP 2.9,FINREP_REF_F_18.02.a_REF_FINREP 2.9
FINREP_REF_F_18.00.c_REF_FINREP 2.9,FINREP_REF_F_18.00.c_REF_FINREP 2.9
FINREP_REF_F_25.03.b_REF_FINREP 2.9,FINREP_REF_F_25.03.b_REF_FINREP 2.9
FINREP_REF_F_19.00.b_REF_FINREP 2.9,FINREP_REF_F_19.00.b_REF_FINREP 2.9
FINREP_REF_F_25.02.c_REF_FINREP 2.9,FINREP_REF_F_25.02.c_REF_FINREP 2.9
FINREP_REF_F_25.01.d_REF_FINREP 2.9,FINREP_REF_F_25.01.d_REF_FINREP 2.9
FINREP_REF_F_12.01.a_REF_FINREP 2.8,FINREP_REF_F_12.01.a_REF_FINREP 2.8
FINREP_REF_F_26.00.b_REF_FINREP 2.9,FINREP_REF_F_26.00.b_REF_FINREP 2.9
FINREP_REF_F_13.02.1.b_REF_FINREP 2.9,FINREP_REF_F_13.02.1.b_REF_FINREP 2.9
FINREP_REF_F_13.02.1.a_REF_FINREP 2.9,FINREP_REF_F_13.02.1.a_REF_FINREP 2.9
FINREP_REF_F_13.03.1.b_REF_FINREP 2.9,FINREP_REF_F_13.03.1.b_REF_FINREP 2.9
FINREP_REF_F_13.03.1.a_REF_FINREP 2.9,FINREP_REF_F_13.03.1.a_REF_FINREP 2.9
EBA_FINREP_EBA_F_20.05.a_FINREP_2017-A,EBA_FINREP_EBA_F_20.05.a_FINREP_2017-A
EBA_FINREP_EBA_F_30.02_FINREP_2017-A,EBA_FINREP_EBA_F_30.02_FINREP_2017-A
EBA_FINREP_EBA_F_22.01_FINREP_2017-A,EBA_FINREP_EBA_F_22.01_FINREP_2017-A
EBA_FINREP_EBA_F_03.00_FINREP_2017-A,EBA_FINREP_EBA_F_03.00_FINREP_2017-A
EBA_FINREP_EBA_F_13.01_FINREP_2017-A,EBA_FINREP_EBA_F_13.01_FINREP_2017-A
EBA_FINREP_EBA_F_42.00_FINREP_2017-A,EBA_FINREP_EBA_F_42.00_FINREP_2017-A
EBA_FINREP_EBA_F_21.00_FINREP_2017-A,EBA_FINREP_EBA_F_21.00_FINREP_2017-A
